Type,SKU,Name,Description,Regular price,Categories,Images,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
simple,10889,"Gaveta apilable  2 de plástico, 17 x 11 x 8 cm, TRUPER","Gaveta apilable  2 de plástico, 17 x 11 x 8 cm, TRUPER",17.24,FERRETERÍA > Ferretería general,"https://www.truper.com/media/import/imagenes/GAV-2.jpg, https://www.truper.com/media/import/imagenes/GAV-2+D1.jpg, https://www.truper.com/media/import/imagenes/GAV-2+EI1.jpg, https://www.truper.com/media/import/imagenes/GAV-2+EIND1.jpg, https://www.truper.com/media/import/imagenes/GAV-2+EM1.jpg, https://www.truper.com/media/import/imagenes/GAV-2+E1.jpg, https://www.truper.com/media/import/imagenes/GAV-2+FC1.jpg, https://www.truper.com/media/import/imagenes/GAV-2+FC2.jpg",,,,,
simple,10890,"Gaveta apilable  3 de plástico, 25 x 17 x 11 cm, TRUPER","Gaveta apilable  3 de plástico, 25 x 17 x 11 cm, TRUPER",47.41,FERRETERÍA > Ferretería general,"https://www.truper.com/media/import/imagenes/GAV-3.jpg, https://www.truper.com/media/import/imagenes/GAV-3+D1.jpg, https://www.truper.com/media/import/imagenes/GAV-3+EI1.jpg, https://www.truper.com/media/import/imagenes/GAV-3+EIND1.jpg, https://www.truper.com/media/import/imagenes/GAV-3+EM1.jpg, https://www.truper.com/media/import/imagenes/GAV-3+E1.jpg, https://www.truper.com/media/import/imagenes/GAV-3+FC1.jpg, https://www.truper.com/media/import/imagenes/GAV-3+FC2.jpg",,,,,
simple,10920,"Espuma expansiva de poliuretano, 500 ml, TRUPER","Espuma expansiva de poliuretano, 500 ml, TRUPER",168.97,FERRETERÍA > Albañilería,"https://www.truper.com/media/import/imagenes/ESEX-500.jpg, https://www.truper.com/media/import/imagenes/ESEX-500+EI1.jpg, https://www.truper.com/media/import/imagenes/ESEX-500+EM1.jpg, https://www.truper.com/media/import/imagenes/ESEX-500+FC1.jpg, https://www.truper.com/media/import/imagenes/ESEX-500+FC2.jpg, https://www.truper.com/media/import/imagenes/ESEX-500+FC3.jpg",,,,,
simple,10933,"Cinta para ducto 30m x 48mm, espesor 0.27mm, EXPERT","Cinta para ducto 30m x 48mm, espesor 0.27mm, EXPERT",142.24,FERRETERÍA > Cintas,"https://www.truper.com/media/import/imagenes/CDU-30XX.jpg, https://www.truper.com/media/import/imagenes/CDU-30XX+D1.jpg, https://www.truper.com/media/import/imagenes/CDU-30XX+EI1.jpg, https://www.truper.com/media/import/imagenes/CDU-30XX+EM1.jpg, https://www.truper.com/media/import/imagenes/CDU-30XX+E1.jpg, https://www.truper.com/media/import/imagenes/CDU-30XX+FC1.jpg, https://www.truper.com/media/import/imagenes/CDU-30XX+FC2.jpg",,,,,
simple,11203,"Broca para concreto de 1/4 x 4"", TRUPER","Broca para concreto de 1/4 x 4"", TRUPER",15.5,FERRETERÍA > Accesorios,https://www.truper.com/media/import/imagenes/BCT-1-4X4.jpg,,,,,
simple,11221,"Broca para concreto de 3/8 x 5"", TRUPER","Broca para concreto de 3/8 x 5"", TRUPER",32.0,FERRETERÍA > Accesorios,https://www.truper.com/media/import/imagenes/BCT-3-8X5.jpg,,,,,
simple,11223,"Nivel torpedo magnético de 9"" con cuerpo de ABS, TRUPER","Nivel torpedo magnético de 9"" con cuerpo de ABS, TRUPER",92.0,FERRETERÍA > Medición y trazo,"https://www.truper.com/media/import/imagenes/NT-9.jpg, https://www.truper.com/media/import/imagenes/NT-9+E1.jpg, https://www.truper.com/media/import/imagenes/NT-9+FC1.jpg, https://www.truper.com/media/import/imagenes/NT-9+FC2.jpg",,,,,
simple,11241,"Lima plana muza 10"" con mango Comfort Grip, TRUPER","Lima plana muza 10"" con mango Comfort Grip, TRUPER",116.38,FERRETERÍA > Accesorios,"https://www.truper.com/media/import/imagenes/LPM-10T.jpg, https://www.truper.com/media/import/imagenes/LPM-10T+E1.jpg, https://www.truper.com/media/import/imagenes/LPM-10T+FC1.jpg, https://www.truper.com/media/import/imagenes/LPM-10T+FC2.jpg, https://www.truper.com/media/import/imagenes/LPM-10T+FC3.jpg",,,,,
simple,11244,"Lima redonda bastarda 10"" con mango Comfort Grip, TRUPER","Lima redonda bastarda 10"" con mango Comfort Grip, TRUPER",80.17,FERRETERÍA > Accesorios,"https://www.truper.com/media/import/imagenes/LRB-10T.jpg, https://www.truper.com/media/import/imagenes/LRB-10T+E1.jpg, https://www.truper.com/media/import/imagenes/LRB-10T+FC1.jpg, https://www.truper.com/media/import/imagenes/LRB-10T+FC2.jpg, https://www.truper.com/media/import/imagenes/LRB-10T+FC3.jpg",,,,,
simple,11272,"Broca SDS Plus 3/8 x 6"", TRUPER","Broca SDS Plus 3/8 x 6"", TRUPER",53.45,FERRETERÍA > Accesorios,https://www.truper.com/media/import/imagenes/BS-3-8X6.jpg,,,,,
simple,11339663,ITM 3x16 dwb160n16-3dx*,ITM 3X16 DWB160N16-3DX*,2614.0,MATERIAL ELÉCTRICO > Control y protección,https://www.se.com/mx/es/assets/v2/739/media/20890/QO120-interruptor-termomagnetico.jpg,,,,,
simple,11339700,ITM para caja moldeada de 63A*,ITM PARA CAJA MOLDEADA DE 63A*,0.0,MATERIAL ELÉCTRICO > Control y protección,https://www.se.com/mx/es/assets/v2/739/media/20890/QO120-interruptor-termomagnetico.jpg,,,,,
simple,11363,"Broca plana de manita 5/16"" para madera, TRUPER","Broca plana de manita 5/16"" para madera, TRUPER",42.24,FERRETERÍA > Accesorios,https://www.truper.com/media/import/imagenes/BPT-5-16.jpg,,,,,
simple,11506,"Caja para herramienta 23"" industrial con broches metálicos","Caja para herramienta 23"" industrial con broches metálicos",469.83,MATERIAL ELÉCTRICO > Canalización,"https://www.truper.com/media/import/imagenes/CHP-23X.jpg, https://www.truper.com/media/import/imagenes/CHP-23X+D2.jpg, https://www.truper.com/media/import/imagenes/CHP-23X+EI1.jpg, https://www.truper.com/media/import/imagenes/CHP-23X+FC1.jpg, https://www.truper.com/media/import/imagenes/CHP-23X+FC2.jpg, https://www.truper.com/media/import/imagenes/CHP-23X+FC3.jpg",,,,,
simple,11536,"Porta herramientas de carnaza con 12 compartimentos, TRUPER","Porta herramientas de carnaza con 12 compartimentos, TRUPER",392.24,FERRETERÍA > Accesorios,"https://www.truper.com/media/import/imagenes/POHE-12C.jpg, https://www.truper.com/media/import/imagenes/POHE-12C+E1.jpg, https://www.truper.com/media/import/imagenes/POHE-12C+FC1.jpg, https://www.truper.com/media/import/imagenes/POHE-12C+FC2.jpg",,,,,
simple,11603,"Lija de esmeril negra grano 120 de óxido de aluminio, TRUPER","Lija de esmeril negra grano 120 de óxido de aluminio, TRUPER",15.09,FERRETERÍA > Accesorios,"https://www.truper.com/media/import/imagenes/LIME-120.jpg, https://www.truper.com/media/import/imagenes/LIME-120+CR1.jpg, https://www.truper.com/media/import/imagenes/LIME-120+D1.jpg, https://www.truper.com/media/import/imagenes/LIME-120+D2.jpg, https://www.truper.com/media/import/imagenes/LIME-120+D3.jpg, https://www.truper.com/media/import/imagenes/LIME-120+EI1.jpg, https://www.truper.com/media/import/imagenes/LIME-120+EM1.jpg, https://www.truper.com/media/import/imagenes/LIME-120+E1.jpg",,,,,
