SKU,Name,Description,Regular price,Categories,Images,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s)
102442,"Chaleco de seguridad de alta visibilidad, naranja, XG,EXPERT","Chaleco de seguridad de alta visibilidad, naranja, XG,EXPERT",340.52,,"https://www.truper.com/media/import/imagenes/CHS-900N-XL.jpg, https://www.truper.com/media/import/imagenes/CHS-900N-XL+E1.jpg, https://www.truper.com/media/import/imagenes/CHS-900N-XL+FC1.jpg",Marca,,Medida,
102551,"Rejilla escurridora para rodillos, TRUPER","Rejilla escurridora para rodillos, TRUPER",75.0,,"https://www.truper.com/media/import/imagenes/REPI-19.jpg, https://www.truper.com/media/import/imagenes/REPI-19+EI1.jpg, https://www.truper.com/media/import/imagenes/REPI-19+EM1.jpg, https://www.truper.com/media/import/imagenes/REPI-19+E1.jpg, https://www.truper.com/media/import/imagenes/REPI-19+FC1.jpg, https://www.truper.com/media/import/imagenes/REPI-19+FC2.jpg, https://www.truper.com/media/import/imagenes/REPI-19+FC3.jpg",Marca,,Medida,
102672,"Barreta de uña de 7/8"" x 105 cm, TRUPER EXPERT","Barreta de uña de 7/8"" x 105 cm, TRUPER EXPERT",280.17,,"https://www.truper.com/media/import/imagenes/BU-105X.jpg, https://www.truper.com/media/import/imagenes/BU-105X+FC1.jpg, https://www.truper.com/media/import/imagenes/BU-105X+FC2.jpg",Marca,,Medida,
102681,"Pinza ponchadora, 3 módulos","Pinza ponchadora, 3 módulos",331.9,,"https://www.truper.com/media/import/imagenes/PRJ-3.jpg, https://www.truper.com/media/import/imagenes/PRJ-3+E1.jpg, https://www.truper.com/media/import/imagenes/PRJ-3+FC1.jpg, https://www.truper.com/media/import/imagenes/PRJ-3+FC2.jpg",Marca,,Medida,
102965,"Talacho-pico 2.5 lb, mango de madera 36"", TRUPER","Talacho-pico 2.5 lb, mango de madera 36"", TRUPER",306.03,,https://www.truper.com/media/import/imagenes/TP-2.5MM.jpg,Marca,,Medida,
103015,"Machete doble filo 10"", cacha inyectada, con funda, TRUPER","Machete doble filo 10"", cacha inyectada, con funda, TRUPER",211.21,,"https://www.truper.com/media/import/imagenes/MACH-10X.jpg, https://www.truper.com/media/import/imagenes/MACH-10X+E1.jpg, https://www.truper.com/media/import/imagenes/MACH-10X+FC1.jpg, https://www.truper.com/media/import/imagenes/MACH-10X+FC2.jpg",Marca,,Medida,
103018,"Broca multimaterial 5/32 x 6"", TRUPER","Broca multimaterial 5/32 x 6"", TRUPER",42.24,,https://www.truper.com/media/import/imagenes/BMC-5-32X6.jpg,Marca,,Medida,
1030181,ADHESIVO MONT CLAVOS 140G,ADHESIVO MONT CLAVOS 140G,,,"https://m.media-amazon.com/images/I/71+RvRp9CML._AC_UF894,1000_QL80_.jpg",Marca,,Medida,
103025,"Estuche con 50 puntas de cruz PH2 de impacto largo 2""","Estuche con 50 puntas de cruz PH2 de impacto largo 2""",456.03,,"https://www.truper.com/media/import/imagenes/PUDE-1202-50I.jpg, https://www.truper.com/media/import/imagenes/PUDE-1202-50I+D1.jpg, https://www.truper.com/media/import/imagenes/PUDE-1202-50I+D2.jpg, https://www.truper.com/media/import/imagenes/PUDE-1202-50I+E1.jpg, https://www.truper.com/media/import/imagenes/PUDE-1202-50I+FC1.jpg, https://www.truper.com/media/import/imagenes/PUDE-1202-50I+FC2.jpg",Marca,,Medida,
103025INDI,1 PIEZA PUNTA DE CRUZ PH2 DE IMPACTO LARGO 2',1 PIEZA PUNTA DE CRUZ PH2 DE IMPACTO LARGO 2',9.1206,,,Marca,,Medida,
103076,"Sellador acrílico de 280 ml, negro, TRUPER","Sellador acrílico de 280 ml, negro, TRUPER",62.07,,"https://www.truper.com/media/import/imagenes/SACRI-100N.jpg, https://www.truper.com/media/import/imagenes/SACRI-100N+EI1.jpg, https://www.truper.com/media/import/imagenes/SACRI-100N+EIND1.jpg, https://www.truper.com/media/import/imagenes/SACRI-100N+EM1.jpg, https://www.truper.com/media/import/imagenes/SACRI-100N+FC1.jpg",Marca,,Medida,
103108,"Juego de dados mm y std con matraca, cuadro 1/4"", TRUPER","Juego de dados mm y std con matraca, cuadro 1/4"", TRUPER",547.41,,https://www.truper.com/media/import/imagenes/JD-1-4X21MP.jpg,Marca,,Medida,
1031545,CEMENQUIN 5 KG,CEMENQUIN 5 KG,,,,Marca,,Medida,
103258,"Sierra sable, 20V, 1 batería 2Ah, TRUPER PRO","Sierra sable, 20V, 1 batería 2Ah, TRUPER PRO",2370.69,,"https://www.truper.com/media/import/imagenes/SISI-20A.jpg, https://www.truper.com/media/import/imagenes/SISI-20A+EIND1.jpg, https://www.truper.com/media/import/imagenes/SISI-20A+EM1.jpg, https://www.truper.com/media/import/imagenes/SISI-20A+E1.jpg, https://www.truper.com/media/import/imagenes/SISI-20A+FC1.jpg",Marca,,Medida,
103351,"Pinza 6"" pela cables, 20 a 10 AWG, TRUPER","Pinza 6"" pela cables, 20 a 10 AWG, TRUPER",119.83,,"https://www.truper.com/media/import/imagenes/PE-CA-61.jpg, https://www.truper.com/media/import/imagenes/PE-CA-61+E1.jpg, https://www.truper.com/media/import/imagenes/PE-CA-61+FC1.jpg, https://www.truper.com/media/import/imagenes/PE-CA-61+FC2.jpg",Marca,,Medida,
10338,"Escalera de tijera tipo ll 8 peldaños y bandeja, TRUPER","Escalera de tijera tipo ll 8 peldaños y bandeja, TRUPER",3450.0,,"https://www.truper.com/media/import/imagenes/EST-28.jpg, https://www.truper.com/media/import/imagenes/EST-28+FC1.jpg, https://www.truper.com/media/import/imagenes/EST-28+FC2.jpg",Marca,,Medida,
103392,"Combo rotomartillo/dest + dest/impacto, 20V, TRUPER PRO","Combo rotomartillo/dest + dest/impacto, 20V, TRUPER PRO",4267.24,,"https://www.truper.com/media/import/imagenes/COMBO-20A2.jpg, https://www.truper.com/media/import/imagenes/COMBO-20A2+EIND1.jpg, https://www.truper.com/media/import/imagenes/COMBO-20A2+EM1.jpg, https://www.truper.com/media/import/imagenes/COMBO-20A2+E1.jpg",Marca,,Medida,
10356494,CONTACTO AUX FRONTAL BCXMFC1*,CONTACTO AUX FRONTAL BCXMFC1*,0.0,,"https://m.media-amazon.com/images/I/61W8GZ+VxCL._AC_UF894,1000_QL80_.jpg",Marca,,Medida,
103714,"Tijera 10"" multiusos, de acero inoxidable, EXPERT","Tijera 10"" multiusos, de acero inoxidable, EXPERT",228.45,,"https://www.truper.com/media/import/imagenes/TIMU-10X.jpg, https://www.truper.com/media/import/imagenes/TIMU-10X+EI1.jpg, https://www.truper.com/media/import/imagenes/TIMU-10X+EM1.jpg, https://www.truper.com/media/import/imagenes/TIMU-10X+E1.jpg, https://www.truper.com/media/import/imagenes/TIMU-10X+FC1.jpg, https://www.truper.com/media/import/imagenes/TIMU-10X+FC2.jpg",Marca,,Medida,
