Marca/Grupo,SKU,Nombre,Precio,Categorias
GENERICO (CHAROLAS Y ACCESORIOS),CHAR0038,"TH-18R081A TEE HORIZONTAL 18"" RADIO 8",1027.53,
GENERICO (CHAROLAS Y ACCESORIOS),CHAR0083,"VE-06R08901A CURVA VERTICAL EXTERIOR 06"" RADIO 8",454.995,
GENERICO (CHAROLAS Y ACCESORIOS),CHAR0089,"VE-18R08901A CURVA VERTICAL EXTERIOR 18"" RADIO 8",535.49,
GENERICO (CHAROLAS Y ACCESORIOS),CHAR0086,"VH-06R08901A CURVA HORIZONTAL 6"" RADIO 8 ANG 90°",392.25,
GENERICO (CHAROLAS Y ACCESORIOS),CHAR0082,"VH-12R08091A CURVA HORIZONTAL 12"" RADIO 8ANG 90°",480.29,
GENERICO (CHAROLAS Y ACCESORIOS),CHAR0088,"VH-18R08901A CURVA HORIZONTAL 18"" RADIO 8 ANG 90°",575.09,
GENERICO (CHAROLAS Y ACCESORIOS),CHAR0084,"VI-06R08901A CURVA VERTICAL INTERIOR 06"" RADIO 8",454.995,
GENERICO (CHAROLAS Y ACCESORIOS),CHAR0090,"VI-8R08901A CURVA VERTICAL INTERIOR 18"" RADIO 8",539.99,
GENERICO (CINTAS),PAND0020,CINTA AISLANTE ST14-075 STRONHOLD*,19.65,
GENERICO (CINTAS),TUK0002,CINTA AISLANTE TUCK 1600 AZUL,28.01,
GENERICO (CINTAS),TUK0001,CINTA AISLANTE TUCK 1600 ROJA*,28.01,
GENERICO (CINTAS),PAND0025,CINTA AUTO-VULCANIZABLE E8000*,124.14,
GENERICO (CINTAS),CLX30,CINTA LARGA FIBRA VIDRIO CRUC 30M,271.2,
GENERICO (CINTAS),CLFX50,CINTA LGA FIB VID CRUC 50M TPU,708.0,
GENERICO (CINTAS),806072,CINTA MONTAJE DOBLE CARA PESADO TRANSPARENTE,,
GENERICO (CODOS CON ROSCA),CDCR0005,"CODO CON ROSCA 1 1/2""*",181.98,
GENERICO (CODOS CON ROSCA),CDCR0004,"CODO CON ROSCA 1 1/4""*",156.68,
GENERICO (CODOS CON ROSCA),CDCR0003,"CODO CON ROSCA 1""*",90.21,
GENERICO (CODOS CON ROSCA),CDCR0001,"CODO CON ROSCA 1/2""*",40.1,
GENERICO (CODOS CON ROSCA),CDCR0007,"CODO CON ROSCA 2 1/2""*",763.44,
GENERICO (CODOS CON ROSCA),CDCR0006,"CODO CON ROSCA 2""*",332.19,
GENERICO (CODOS CON ROSCA),CDCR0008,"CODO CON ROSCA 3""",942.74,
GENERICO (CODOS CON ROSCA),CDCR0002,"CODO CON ROSCA 3/4""*",53.91,
GENERICO (CODOS CON ROSCA),CDCR0009,"CODO CON ROSCA 4""*",1815.86,
GENERICO (CODOS PVC),CDPV0005,"CODO PVC T. PESADO 1 1/2""*",23.63,
GENERICO (CODOS PVC),CDPV0004,"CODO PVC T. PESADO 1 1/4""*",16.37,
GENERICO (CODOS PVC),CDPV0003,"CODO PVC T. PESADO 1""*",9.35,
GENERICO (CODOS PVC),CDPV0001,"CODO PVC T. PESADO 1/2""*",4.25,
GENERICO (CODOS PVC),CDPV0007,"CODO PVC T. PESADO 2 1/2""*",58.61,
GENERICO (CODOS PVC),CDPV0006,"CODO PVC T. PESADO 2""*",40.38,
